model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
ticvla,scene_gate_20260829,dynanav_001,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,0,0,True,success,success,1.491720421,"[-2.95100736618042, -1.1983376741409302]","[8.009360313415527, 1.9143871068954468]",1.0,11.793697995021352,13.24,0,0,0.0,0,0,0.04315205999627346,0.028960468247532845,0.058493900299072255,1.4862415790557861,0.04177395234687057,0.0013781072689235453,20.098309072717537,19.819101108461002,False
ticvla,scene_gate_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,13.239322889,"[-2.881348133087158, 9.563546180725098]","[-3.5899248123168945, 7.669788360595703]",0.0,39.95987021037813,50.059999999,0,0,0.0,0,0,0.03453555690343322,0.029175417497754097,0.06797574944794166,1.1073671579360962,0.03319690363700332,0.0013386532258966312,20.017015278414043,18.538152819008516,False
ticvla,scene_gate_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,16.298051691,"[-10.22169017791748, -7.310589790344238]","[-8.190481185913086, -7.846397399902344]",0.0,62.97824085591313,70.02000000000001,0,0,0.0,0,0,0.03674992636221347,0.030088650062680244,0.08665917292237281,1.2313209772109985,0.03540578125406512,0.00134414502942144,20.010367430933318,18.072383683590857,False
omnivla,scene_gate_20260829,dynanav_001,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,0,0,False,timeout,inconclusive_timeout,8.25341139,"[-2.9518189430236816, -1.198403000831604]","[2.6698429584503174, -2.273710250854492]",0.0,6.718733668990641,40.1,5,0,0.12468827930174563,1,1,0.11978197279607966,0.1164553090929985,0.12106284201145172,0.6005711555480957,,,20.018640747663778,19.50433931258583,False
omnivla,scene_gate_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,5.20725821,"[-2.8811159133911133, 9.563855171203613]","[-14.547802925109863, 3.8699958324432373]",0.0,14.298919594508002,50.039999999,0,0,0.0,2,2,0.11606154004156878,0.11594438552856445,0.11852235421538354,0.12327063828706741,,,20.02713311878819,19.750802916489686,False
omnivla,scene_gate_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,23.626058977,"[-10.22143268585205, -7.313840866088867]","[-13.324763298034668, 28.980073928833008]",0.0,41.2487945479721,70.019999999,0,0,0.0,0,0,0.11568167233943111,0.11546501144766808,0.11841197535395621,0.11941517889499664,,,20.016753585515485,19.376294464750085,False
dualvln,scene_gate_20260829,dynanav_001,hospital,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,0,0,False,timeout,inconclusive_timeout,4.763636052,"[-2.951413154602051, -1.198370337486267]","[4.956923484802246, 0.9579049944877625]",0.0,12.371529554622796,40.04,0,0,0.0,0,0,0.7855948258191348,0.10986169055104256,3.998213016986847,4.117780685424805,,,20.036170947664008,19.62650677027104,False
dualvln,scene_gate_20260829,dynanav_026,office,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,12.554459297,"[-2.8799448013305664, 9.565422058105469]","[-7.399848937988281, 9.823112487792969]",0.0,12.211317089246458,50.219999999,2,0,0.03982477100835971,0,0,0.765500157036715,0.11003773659467697,3.9694331169128416,4.001975059509277,,,20.027446574833327,19.717839271777326,False
dualvln,scene_gate_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,16.748871224,"[-10.221659660339355, -7.310995578765869]","[-12.820402145385742, -6.142214298248291]",0.0,29.3573935557518,70.04,0,0,0.0,0,0,0.9252676709117938,1.1033790111541748,3.9001837968826294,3.943585157394409,,,20.022888579148248,19.66048035519686,False
navila,scene_gate_20260829,dynanav_001,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,0,0,False,model_stop_before_goal,model_behavior,6.413857286,"[-2.950601816177368, -1.198305606842041]","[4.506661891937256, -1.6705007553100586]",0.0,7.475102924674264,14.34,0,0,0.0,0,0,0.556480975151062,0.5420517325401306,0.5752556085586547,0.8680238127708435,,,20.12038634407845,19.802290745514068,False
navila,scene_gate_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,8.109289994,"[-2.8808839321136475, 9.564170837402344]","[-21.491580963134766, -0.7173550724983215]",0.0,22.66933168086198,50.080000000000005,0,0,0.0,0,0,0.5473677382040559,0.5479591488838196,0.5536927103996276,0.5580596327781677,,,20.028080020962705,19.4358166907512,False
navila,scene_gate_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,model_stop_before_goal,model_behavior,8.569427764,"[-10.221724510192871, -7.3101806640625]","[-11.696771621704102, 6.052696228027344]",0.0,13.462320313708199,25.199999999,0,0,0.0,0,0,0.5539435664812724,0.553892195224762,0.561534833908081,0.5901159644126892,,,20.086953685735583,19.19138966630124,False
uninavid,scene_gate_20260829,dynanav_001,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the vending machine at front.,666,0,0,0,False,timeout,inconclusive_timeout,12.352204719,"[-2.95100736618042, -1.1983376741409302]","[-2.4246482849121094, -0.8189125061035156]",0.0,3.67722966539886,40.2,0,0,0.0,0,0,0.33134045203526813,0.2947763502597809,0.4156767338514328,0.4291101098060608,,,20.03792051676486,19.747170639938766,False
uninavid,scene_gate_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,14.460522569,"[-2.880415678024292, 9.564798355102539]","[-4.387157917022705, 10.103876113891602]",0.0,5.318646324836337,50.08,0,0,0.0,0,0,0.24290990084409714,0.2779112756252289,0.2890780806541443,0.28910699486732483,,,20.03334889462038,18.702464579907723,False
uninavid,scene_gate_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""frame_sample_hz"":1.0,""do_sample"":true,""temperature"":0.2,""max_new_tokens"":1024,""predicted_action_limit"":4,""executed_action_limit"":2,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,14.223864193,"[-10.22159481048584, -7.311807632446289]","[-9.860552787780762, -4.992331027984619]",0.0,2.353740176340173,70.13999999900001,0,0,0.0,0,0,,,,,,,20.99337584344109,19.738013019163844,False
