model_name,experiment,episode_id,scene,evaluation_mode,sensor_profile,comparison_track,camera_horizontal_fov_degrees,model_inputs,model_runtime,derived_inputs,model_internal_3d_perception,external_local_avoidance,uses_shared_path_follower,uses_shared_velocity_filter,instruction,seed,pedestrian_count,official_pedestrian_count,effective_pedestrian_count,success,termination_reason,failure_attribution,navigation_error,start_pose,final_pose,spl,path_length,duration,physical_collision_count,pedestrian_collision_count,collision_rate,stuck_count,recovery_count,mean_inference_latency,p50_inference_latency,p95_inference_latency,max_inference_latency,mean_vlm_latency,mean_action_expert_latency,mean_control_frequency,minimum_control_frequency,direct_velocity
ticvla,scene_smoke_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,False,timeout,inconclusive_timeout,3.419041089,"[8.019041061401367, -0.004344437271356583]","[7.882153511047363, -1.3991343975067139]",0.0,3.662841554755506,45.04,26,0,0.5772646536412078,0,0,0.036823075919363506,0.030725490301847458,0.06097840517759323,1.5377554893493652,0.035373942956091864,0.001449133064640082,20.017104772403048,18.930674008397904,False
ticvla,scene_smoke_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,21.369062547,"[-2.865917921066284, 9.590049743652344]","[5.485276699066162, 8.813733100891113]",0.0,12.675641852861213,50.04,32,0,0.639488409272582,0,0,0.03574107834937597,0.030704282224178314,0.07182801514863965,1.1309013366699219,0.03428615913773426,0.0014549191674274025,20.01631173414769,19.618379355775296,False
ticvla,scene_smoke_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""motion_state"",""inference_latency"",""instruction""]","{""sensors"":[""rgb"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,22.381036908,"[-10.215263366699219, -7.339468479156494]","[5.040489196777344, -13.174175262451172]",0.0,19.30407782200452,70.03999999999999,8,0,0.11422044545973731,0,0,0.036658040134281644,0.031121812760829926,0.07903788089752196,1.1613086462020874,0.03524923894335242,0.0014088012680940469,20.011335902129463,18.256809222146927,False
omnivla,scene_smoke_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,True,success,success,1.496103581,"[8.020904541015625, -0.004284059628844261]","[9.504426002502441, -0.03980380669236183]",1.0,1.484050648516778,4.5,0,0,0.0,0,0,0.14992331630653805,0.1217058040201664,0.20122735574841427,0.6316947937011719,,,20.2363407466176,19.91409146679088,False
omnivla,scene_smoke_20260829,dynanav_026,office,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,21.075124123,"[-2.8682496547698975, 9.587152481079102]","[5.394325256347656, 8.335942268371582]",0.0,16.010758098837353,50.119999999,17,0,0.33918595371786087,0,0,0.12164059520330069,0.12167296931147575,0.12396134622395039,0.12618450820446014,,,20.01455843927554,18.041895734851188,False
omnivla,scene_smoke_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""variant"":""omnivla-original"",""resume_step"":120000,""modality_id"":7,""action_shape"":[8,4],""target_inference_rate_hz"":3.0,""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,13.685711425,"[-10.215163230895996, -7.3417134284973145]","[4.769731044769287, -3.4695560932159424]",0.0,25.698905710971157,70.02,25,0,0.3570408454727221,0,0,0.12167623879125454,0.12174436077475548,0.12434657402336598,0.12582817673683167,,,20.018502308024722,19.678734745313538,False
dualvln,scene_smoke_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,True,success,success,1.497786093,"[8.015680313110352, -0.00446060486137867]","[9.817431449890137, -0.9361870884895325]",1.0,2.4088584449585113,8.620000000000001,3,0,0.34802784222737815,0,0,0.9283757309118906,1.0145497024059296,1.2998359322547914,1.306624412536621,,,20.25328265885304,13.062651367856754,False
dualvln,scene_smoke_20260829,dynanav_026,office,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Go straight ahead and stop at the nearest elevator.,666,0,0,0,False,timeout,inconclusive_timeout,15.807285371,"[-2.867785930633545, 9.587738037109375]","[2.070478916168213, 2.0403084754943848]",0.0,9.423788856142645,50.04,0,0,0.0,0,0,0.9409057690451542,1.1641262769699097,4.304960155487061,4.665359020233154,,,20.347553948009953,19.496994661786623,False
dualvln,scene_smoke_20260829,dynanav_061,warehouse,trajectory_normalized,rgb_d,rgb_d,79.0,"[""rgb"",""depth"",""camera_info"",""motion_state"",""instruction""]","{""sensors"":[""rgb"",""depth"",""odom""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,Proceed to the traffic cones at the entrance of Aisle 05 (the second aisle from the right).,666,0,0,0,False,timeout,inconclusive_timeout,7.212671576,"[-10.215177536010742, -7.341338634490967]","[3.2236881256103516, 4.480138301849365]",0.0,21.87970394107861,70.08000000000001,6,0,0.08561643835616436,0,0,0.908596867050689,0.11854090169072151,4.2098942518234255,4.28667688369751,,,20.12211908867497,19.443128955730746,False
navila,scene_smoke_20260829,simple_forward_3m_standard,hospital,trajectory_normalized,rgb_only,rgb_only,90.0,"[""rgb"",""instruction""]","{""sensors"":[""rgb""],""derived_inputs"":[],""model_internal_3d_perception"":false,""external_local_avoidance"":false,""uses_shared_path_follower"":true,""uses_shared_velocity_filter"":true}",[],False,False,True,True,"Move straight forward for 3 meters, then stop.",1,0,0,0,True,success,success,1.499124319,"[8.019413948059082, -0.004332470707595348]","[9.843600273132324, 0.9572667479515076]",1.0,2.1453649748901156,5.92,0,0,0.0,0,0,0.5815139353275299,0.5546247959136963,0.7065348148345945,0.8256416320800781,,,20.33787111181766,19.724851319988147,False
